Date - MST,Measure Names,Measure Values
1/1/2023 12:00:00 AM,Avg. Price,126.13125
12/1/2022 12:00:00 AM,Avg. Price,311.725618280
11/1/2022 12:00:00 AM,Avg. Price,187.006541667
10/1/2022 12:00:00 AM,Avg. Price,142.051223118
9/1/2022 12:00:00 AM,Avg. Price,266.738041667
8/1/2022 12:00:00 AM,Avg. Price,257.704005376
7/1/2022 12:00:00 AM,Avg. Price,141.532688172
6/1/2022 12:00:00 AM,Avg. Price,129.025805556
5/1/2022 12:00:00 AM,Avg. Price,121.284153226
4/1/2022 12:00:00 AM,Avg. Price,117.112986111
3/1/2022 12:00:00 AM,Avg. Price,75.422889785
2/1/2022 12:00:00 AM,Avg. Price,105.220863095
1/1/2022 12:00:00 AM,Avg. Price,90.806236559
12/1/2021 12:00:00 AM,Avg. Price,126.270067204
11/1/2021 12:00:00 AM,Avg. Price,99.086250000
10/1/2021 12:00:00 AM,Avg. Price,96.383642473
9/1/2021 12:00:00 AM,Avg. Price,94.463152778
8/1/2021 12:00:00 AM,Avg. Price,82.247405914
7/1/2021 12:00:00 AM,Avg. Price,124.108266129
6/1/2021 12:00:00 AM,Avg. Price,140.816833333
5/1/2021 12:00:00 AM,Avg. Price,85.379825269
4/1/2021 12:00:00 AM,Avg. Price,88.009
3/1/2021 12:00:00 AM,Avg. Price,66.874112903
2/1/2021 12:00:00 AM,Avg. Price,151.981369048
1/1/2021 12:00:00 AM,Avg. Price,72.885645161
12/1/2020 12:00:00 AM,Avg. Price,38.442943548
11/1/2020 12:00:00 AM,Avg. Price,38.452569444
10/1/2020 12:00:00 AM,Avg. Price,61.253131720
9/1/2020 12:00:00 AM,Avg. Price,36.094930556
8/1/2020 12:00:00 AM,Avg. Price,41.011451613
7/1/2020 12:00:00 AM,Avg. Price,54.157083333
6/1/2020 12:00:00 AM,Avg. Price,34.534041667
5/1/2020 12:00:00 AM,Avg. Price,26.363158602
4/1/2020 12:00:00 AM,Avg. Price,28.901513889
3/1/2020 12:00:00 AM,Avg. Price,42.138481183
2/1/2020 12:00:00 AM,Avg. Price,36.328951149
1/1/2020 12:00:00 AM,Avg. Price,120.666787634
12/1/2019 12:00:00 AM,Avg. Price,43.189596774
11/1/2019 12:00:00 AM,Avg. Price,56.174277778
10/1/2019 12:00:00 AM,Avg. Price,41.8725
9/1/2019 12:00:00 AM,Avg. Price,54.452305556
8/1/2019 12:00:00 AM,Avg. Price,45.408212366
7/1/2019 12:00:00 AM,Avg. Price,40.989731183
6/1/2019 12:00:00 AM,Avg. Price,53.506138889
5/1/2019 12:00:00 AM,Avg. Price,74.788508065
4/1/2019 12:00:00 AM,Avg. Price,40.799777778
3/1/2019 12:00:00 AM,Avg. Price,64.997379032
2/1/2019 12:00:00 AM,Avg. Price,109.356949405
1/1/2019 12:00:00 AM,Avg. Price,37.831411290
12/1/2018 12:00:00 AM,Avg. Price,43.989650538
11/1/2018 12:00:00 AM,Avg. Price,59.251013889
10/1/2018 12:00:00 AM,Avg. Price,63.475067204
9/1/2018 12:00:00 AM,Avg. Price,36.117902778
8/1/2018 12:00:00 AM,Avg. Price,68.798333333
7/1/2018 12:00:00 AM,Avg. Price,58.478387097
6/1/2018 12:00:00 AM,Avg. Price,63.427194444
5/1/2018 12:00:00 AM,Avg. Price,63.791263441
4/1/2018 12:00:00 AM,Avg. Price,40.514819444
3/1/2018 12:00:00 AM,Avg. Price,32.268709677
2/1/2018 12:00:00 AM,Avg. Price,31.322053571
1/1/2018 12:00:00 AM,Avg. Price,40.832473118
12/1/2017 12:00:00 AM,Avg. Price,21.987069892
11/1/2017 12:00:00 AM,Avg. Price,25.042555556
10/1/2017 12:00:00 AM,Avg. Price,20.454919355
9/1/2017 12:00:00 AM,Avg. Price,22.103430556
8/1/2017 12:00:00 AM,Avg. Price,24.571263441
7/1/2017 12:00:00 AM,Avg. Price,26.951881720
6/1/2017 12:00:00 AM,Avg. Price,16.787208333
5/1/2017 12:00:00 AM,Avg. Price,21.904395161
4/1/2017 12:00:00 AM,Avg. Price,19.106430556
3/1/2017 12:00:00 AM,Avg. Price,20.995981183
2/1/2017 12:00:00 AM,Avg. Price,22.179449405
1/1/2017 12:00:00 AM,Avg. Price,23.960430108
12/1/2016 12:00:00 AM,Avg. Price,24.207150538
11/1/2016 12:00:00 AM,Avg. Price,16.325638889
10/1/2016 12:00:00 AM,Avg. Price,25.372473118
9/1/2016 12:00:00 AM,Avg. Price,17.699375
8/1/2016 12:00:00 AM,Avg. Price,17.899704301
7/1/2016 12:00:00 AM,Avg. Price,18.214583333
6/1/2016 12:00:00 AM,Avg. Price,15.444958333
5/1/2016 12:00:00 AM,Avg. Price,15.892903226
4/1/2016 12:00:00 AM,Avg. Price,13.640416667
3/1/2016 12:00:00 AM,Avg. Price,14.784462366
2/1/2016 12:00:00 AM,Avg. Price,17.219568966
1/1/2016 12:00:00 AM,Avg. Price,22.250819892
12/1/2015 12:00:00 AM,Avg. Price,20.927728495
11/1/2015 12:00:00 AM,Avg. Price,21.173458333
10/1/2015 12:00:00 AM,Avg. Price,21.465349462
9/1/2015 12:00:00 AM,Avg. Price,20.839333333
8/1/2015 12:00:00 AM,Avg. Price,34.113346774
7/1/2015 12:00:00 AM,Avg. Price,23.124260753
6/1/2015 12:00:00 AM,Avg. Price,97.330680556
5/1/2015 12:00:00 AM,Avg. Price,53.936733871
4/1/2015 12:00:00 AM,Avg. Price,20.5215
3/1/2015 12:00:00 AM,Avg. Price,20.645725806
2/1/2015 12:00:00 AM,Avg. Price,32.833720238
1/1/2015 12:00:00 AM,Avg. Price,33.949529570
12/1/2023 12:00:00 AM,Avg. AIL,10517.602150538
11/1/2023 12:00:00 AM,Avg. AIL,10262.843055556
10/1/2023 12:00:00 AM,Avg. AIL,9560.706989247
9/1/2023 12:00:00 AM,Avg. AIL,9313.130555556
8/1/2023 12:00:00 AM,Avg. AIL,9738.435483871
7/1/2023 12:00:00 AM,Avg. AIL,9885.724462366
6/1/2023 12:00:00 AM,Avg. AIL,9450.961111111
5/1/2023 12:00:00 AM,Avg. AIL,9052.313172043
4/1/2023 12:00:00 AM,Avg. AIL,9385.476388889
3/1/2023 12:00:00 AM,Avg. AIL,10224.817204301
2/1/2023 12:00:00 AM,Avg. AIL,10457.949404762
1/1/2023 12:00:00 AM,Avg. AIL,10386.603494624
12/1/2022 12:00:00 AM,Avg. AIL,10749.880376344
11/1/2022 12:00:00 AM,Avg. AIL,10337.204166667
10/1/2022 12:00:00 AM,Avg. AIL,9468.924731183
9/1/2022 12:00:00 AM,Avg. AIL,9381.093055556
8/1/2022 12:00:00 AM,Avg. AIL,9839.651881720
7/1/2022 12:00:00 AM,Avg. AIL,9853.388440860
6/1/2022 12:00:00 AM,Avg. AIL,9265.809722222
5/1/2022 12:00:00 AM,Avg. AIL,9160.223118280
4/1/2022 12:00:00 AM,Avg. AIL,9558.323611111
3/1/2022 12:00:00 AM,Avg. AIL,10068.438172043
2/1/2022 12:00:00 AM,Avg. AIL,10416.668154762
1/1/2022 12:00:00 AM,Avg. AIL,10511.509408602
12/1/2021 12:00:00 AM,Avg. AIL,10669.767473118
11/1/2021 12:00:00 AM,Avg. AIL,10056.716666667
10/1/2021 12:00:00 AM,Avg. AIL,9454.069892473
9/1/2021 12:00:00 AM,Avg. AIL,9014.819444444
8/1/2021 12:00:00 AM,Avg. AIL,9295.641129032
7/1/2021 12:00:00 AM,Avg. AIL,9919.513440860
6/1/2021 12:00:00 AM,Avg. AIL,9654.155555556
5/1/2021 12:00:00 AM,Avg. AIL,8961.018817204
4/1/2021 12:00:00 AM,Avg. AIL,9087.127777778
3/1/2021 12:00:00 AM,Avg. AIL,9782.834677419
2/1/2021 12:00:00 AM,Avg. AIL,10620.233630952
1/1/2021 12:00:00 AM,Avg. AIL,10266.212365591
12/1/2020 12:00:00 AM,Avg. AIL,10241.135752688
11/1/2020 12:00:00 AM,Avg. AIL,10069.244444444
10/1/2020 12:00:00 AM,Avg. AIL,9393.662634409
9/1/2020 12:00:00 AM,Avg. AIL,8844.997222222
8/1/2020 12:00:00 AM,Avg. AIL,8969.668010753
7/1/2020 12:00:00 AM,Avg. AIL,8974.637096774
6/1/2020 12:00:00 AM,Avg. AIL,8739.876388889
5/1/2020 12:00:00 AM,Avg. AIL,8502.978494624
4/1/2020 12:00:00 AM,Avg. AIL,9089
3/1/2020 12:00:00 AM,Avg. AIL,10007.389784946
2/1/2020 12:00:00 AM,Avg. AIL,10207.875
1/1/2020 12:00:00 AM,Avg. AIL,10516.654569892
12/1/2019 12:00:00 AM,Avg. AIL,10345.998655914
11/1/2019 12:00:00 AM,Avg. AIL,9914.045833333
10/1/2019 12:00:00 AM,Avg. AIL,9438.974462366
9/1/2019 12:00:00 AM,Avg. AIL,9158.347222222
8/1/2019 12:00:00 AM,Avg. AIL,9442.274193548
7/1/2019 12:00:00 AM,Avg. AIL,9486.509408602
6/1/2019 12:00:00 AM,Avg. AIL,9284.631944444
5/1/2019 12:00:00 AM,Avg. AIL,9105.100806452
4/1/2019 12:00:00 AM,Avg. AIL,9306.551388889
3/1/2019 12:00:00 AM,Avg. AIL,9917.264784946
2/1/2019 12:00:00 AM,Avg. AIL,10689.138392857
1/1/2019 12:00:00 AM,Avg. AIL,10307.504032258
12/1/2018 12:00:00 AM,Avg. AIL,10267.079301075
11/1/2018 12:00:00 AM,Avg. AIL,10160.626388889
10/1/2018 12:00:00 AM,Avg. AIL,9694.485215054
9/1/2018 12:00:00 AM,Avg. AIL,9290.405555556
8/1/2018 12:00:00 AM,Avg. AIL,9648.538978495
7/1/2018 12:00:00 AM,Avg. AIL,9557.254032258
6/1/2018 12:00:00 AM,Avg. AIL,9197.840277778
5/1/2018 12:00:00 AM,Avg. AIL,9062.861559140
4/1/2018 12:00:00 AM,Avg. AIL,9286.366666667
3/1/2018 12:00:00 AM,Avg. AIL,10002.194892473
2/1/2018 12:00:00 AM,Avg. AIL,10470.257440476
1/1/2018 12:00:00 AM,Avg. AIL,10289.827956989
12/1/2017 12:00:00 AM,Avg. AIL,10228.942204301
11/1/2017 12:00:00 AM,Avg. AIL,10031.444444444
10/1/2017 12:00:00 AM,Avg. AIL,9035.173387097
9/1/2017 12:00:00 AM,Avg. AIL,9019.811111111
8/1/2017 12:00:00 AM,Avg. AIL,9324.375
7/1/2017 12:00:00 AM,Avg. AIL,9370.909946237
6/1/2017 12:00:00 AM,Avg. AIL,8872.836111111
5/1/2017 12:00:00 AM,Avg. AIL,8746.392473118
4/1/2017 12:00:00 AM,Avg. AIL,8857.541666667
3/1/2017 12:00:00 AM,Avg. AIL,9626.530913978
2/1/2017 12:00:00 AM,Avg. AIL,9928.739583333
1/1/2017 12:00:00 AM,Avg. AIL,10089.098118280
